"Vármegye","Egyéni választókerület","Választókerület jelöltjeire szavazók aktuális száma","Hazai szavazókörben lakcím szerint szavazók száma","Belföldön más OEVK-ba átjelentkezettek száma","Külképviseleten szavazók száma","Választókerületi névjegyzékben szereplő választópolgárok aktuális száma","Hazai szavazókörben lakcím szerint szavazók száma ","OEVK-ba átjelentkezett szavazók száma"
"Hajdú-Bihar vármegye","Hajdú-Bihar vármegye, 06. számú egyéni választókerület","68 114","65 957","1 668","489","66 627","65 957","670"
"Heves vármegye","Heves vármegye, 01. számú egyéni választókerület","79 037","75 303","2 812","922","77 069","75 303","1 766"
"Heves vármegye","Heves vármegye, 02. számú egyéni választókerület","74 025","71 070","2 366","589","72 619","71 070","1 549"
"Heves vármegye","Heves vármegye, 03. számú egyéni választókerület","78 360","75 981","1 969","410","76 984","75 981","1 003"
"Jász-Nagykun-Szolnok vármegye","Jász-Nagykun-Szolnok vármegye, 01. számú egyéni választókerület","74 789","71 530","2 421","838","73 058","71 530","1 528"
"Jász-Nagykun-Szolnok vármegye","Jász-Nagykun-Szolnok vármegye, 02. számú egyéni választókerület","69 547","67 327","1 790","430","68 200","67 327","873"
"Jász-Nagykun-Szolnok vármegye","Jász-Nagykun-Szolnok vármegye, 03. számú egyéni választókerület","72 204","69 113","2 658","433","69 818","69 113","705"
"Jász-Nagykun-Szolnok vármegye","Jász-Nagykun-Szolnok vármegye, 04. számú egyéni választókerület","71 451","68 758","2 209","484","69 403","68 758","645"
"Komárom-Esztergom vármegye","Komárom-Esztergom vármegye, 01. számú egyéni választókerület","77 406","74 952","1 694","760","76 699","74 952","1 747"
"Komárom-Esztergom vármegye","Komárom-Esztergom vármegye, 02. számú egyéni választókerület","80 835","78 198","1 820","817","80 132","78 198","1 934"
"Komárom-Esztergom vármegye","Komárom-Esztergom vármegye, 03. számú egyéni választókerület","81 089","78 702","1 814","573","80 202","78 702","1 500"
"Nógrád vármegye","Nógrád vármegye, 01. számú egyéni választókerület","71 848","68 788","2 524","536","69 786","68 788","998"
"Nógrád vármegye","Nógrád vármegye, 02. számú egyéni választókerület","77 071","74 082","2 474","515","75 317","74 082","1 235"
